"760359406","20180530","201805","2018","2018.411","USA","UNITED STATES","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","160","160","16","4","-4","2","1","2","-2.88461538461538","3","White House, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","1","China","CH","CH","35","105","CH","3","White House, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20180530","http://180dfo.com/2018/05/china-reportedly-lining-up-countries-against-us-in-pending-trade-war/"
"794860320","20181016","201810","2018","2018.7836","USA","THE US","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","80","80","8","2","5","10","1","10","0","1","United States","US","US","39.828175","-98.5795","US","1","United States","US","US","39.828175","-98.5795","US","1","China","CH","CH","35","105","CH","20181016","http://180dfo.com/2018/10/even-optimists-are-giving-up-hope-of-a-quick-resolution-to-the-us-china-trade-war/"
"771702393","20180713","201807","2018","2018.5288","USA","THE US","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","BEIJING","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","61","61","6","2","6.4","10","2","10","-3.05446840519697","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20180713","http://2016carsreview.net/2018/07/united-states-escalates-trade-war-with-new-200-billion/"
"741727342","20180325","201803","2018","2018.2329","USA","WASHINGTON","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","112","112","11","3","-2","62","31","62","-1.48994792949589","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","2","Washington, United States","US","USWA","47.3917","-121.571","WA","2","Washington, United States","US","USWA","47.3917","-121.571","WA","20180325","http://abc27.com/ap/chinese-warns-against-trade-war-appeals-for-cooperation/"
"741652542","20180324","201803","2018","2018.2301","CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"USA","WASHINGTON","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","20","20","2","1","3","1","1","1","-1.61290322580645","1","China","CH","CH","35","105","CH","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20180324","http://acupuncturecentral.net/2018/03/trump-trade-war-china-tells-u-s-it-will-defend-national/"
"773542893","20180720","201807","2018","2018.5479","USA","LOS ANGELES","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","CHINESE","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","20","20","2","1","3","5","1","5","0.82417582417583","1","India","IN","IN","20","77","IN","1","India","IN","IN","20","77","IN","1","India","IN","IN","20","77","IN","20180720","http://aircargoworld.com/allposts/u-freight-endorses-wco-framework-as-trade-war-heats-up/"
"787656612","20180917","201809","2018","2018.7041","USA","THE US","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","61","61","6","2","6.4","14","3","14","-2.2009830449383","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20180917","http://albumsleaksdownload.com/2018/09/trump-doubles-down-on-trade-war-with-china-and-threatens/"
"752977055","20180504","201805","2018","2018.3397","USA","CALIFORNIA","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","130","130","13","3","-4.4","162","20","162","-3.55886060946361","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","20180504","http://am1380theanswer.com/news/politics/california-governor-warns-against-trade-war-with-china-2018-05-03-17-25-06"
"765224311","20180618","201806","2018","2018.4603","CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"USA","UNITED STATES","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","61","61","6","2","6.4","1","1","1","-7.56143667296786","4","Beijing, Beijing, China","CH","CH22","39.9289","116.388","-1898541","1","Canada","CA","CA","60","-96","CA","1","Canada","CA","CA","60","-96","CA","20180618","http://anti-mainstream.com/2018/06/china-retaliates-with-new-tariffs-as-trump-s-trade-war/"
"736582479","20180307","201803","2018","2018.1836","CHN","CHINA","CHN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"USA","CALIFORNIA","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","111","111","11","3","-2","7","1","7","-2.30326295585412","4","Zhengzhou, Henan, China","CH","CH09","34.7578","113.649","-1938815","4","Zhengzhou, Henan, China","CH","CH09","34.7578","113.649","-1938815","4","Zhengzhou, Henan, China","CH","CH09","34.7578","113.649","-1938815","20180307","http://appleinsider.com/articles/18/03/07/potential-us-trade-war-with-china-speculated-to-impact-apple-other-tech-companies"
